ApprovedSymbol	ApprovedName	Class	UniProtID	HGNCID	Taxon
BCAN	brevican	ligand	Q96GW7	23059	Euteleostomi
BDNF	brain-derived neurotrophic factor	ligand	P23560	1033	Euteleostomi
BGN	biglycan	ligand	P21810	1044	Euteleostomi
BMP10	bone morphogenetic protein 10	ligand	O95393	20869	Euteleostomi
BMP15	bone morphogenetic protein 15	ligand	O95972	1068	Euteleostomi
BMP2	bone morphogenetic protein 2	ligand	P12643	1069	Bilateria
BMP3	bone morphogenetic protein 3	ligand	P12645	1070	Euteleostomi
BMP4	bone morphogenetic protein 4	ligand	P12644	1071	Euteleostomi
BMP5	bone morphogenetic protein 5	ligand	P22003	1072	Bilateria
BMP6	bone morphogenetic protein 6	ligand	P22004	1073	Euarchontoglires
BMP7	bone morphogenetic protein 7	ligand	P18075	1074	Bilateria
BMP8B	bone morphogenetic protein 8b	ligand	P34820	1075	Euteleostomi
BST1	bone marrow stromal cell antigen 1	ligand	Q10588	1118	Amniota
BTC	betacellulin	ligand	P35070	1121	Euteleostomi
BTLA	B and T lymphocyte associated	ligand	Q7Z6A9	21087	Eutheria
C1QA	complement component 1, q subcomponent, A chain	ligand	P02745	1241	Human
C1QB	complement component 1, q subcomponent, B chain	ligand	P02746	1242	Tetrapoda
C1QTNF1	C1q and tumor necrosis factor related protein 1	ligand	Q9BXJ1	14324	Tetrapoda
C1QTNF5	C1q and tumor necrosis factor related protein 5	ligand	Q9BXJ0	14344	NA
C1orf112	chromosome 1 open reading frame 112	ligand	Q9NSG2	25565	Deuterostomia
C1orf194	chromosome 1 open reading frame 194	ligand	Q5T5A4	32331	Mammalia
C1orf200	chromosome 1 open reading frame 200	ligand	Q5SR53	32346	Catarrhini
C3	complement component 3	ligand	P01024	1318	Deuterostomia
C4A	complement component 4A (Rodgers blood group)	ligand	P0C0L4	1323	NA
C4B	complement component 4B (Chido blood group)	ligand	P0C0L5	1324	NA
C4BPA	complement component 4 binding protein, alpha	ligand	P04003	1325	Tetrapoda
C5	complement component 5	ligand	P01031	1331	Deuterostomia
C5orf55	chromosome 5 open reading frame 55	ligand	Q8N2X6	25175	NA
C6orf15	chromosome 6 open reading frame 15	ligand	Q6UXA7	13927	Theria
CALCA	calcitonin-related polypeptide alpha	ligand	P01258	1437	Tetrapoda
CALCB	calcitonin-related polypeptide beta	ligand	P10092	1438	Eutheria
CALR	calreticulin	ligand	P27797	1455	Eukaryota
CAMP	cathelicidin antimicrobial peptide	ligand	P49913	1472	Amniota
CCK	cholecystokinin	ligand	P06307	1569	Euteleostomi
CCL1	chemokine (C-C motif) ligand 1	ligand	P22362	10609	Eutheria
CCL11	chemokine (C-C motif) ligand 11	ligand	P51671	10610	Euarchontoglires
CCL13	chemokine (C-C motif) ligand 13	ligand	Q99616	10611	Theria
CCL14	chemokine (C-C motif) ligand 14	ligand	Q16627	10612	Homininae
CCL15	chemokine (C-C motif) ligand 15	ligand	Q16663	10613	Homininae
CCL16	chemokine (C-C motif) ligand 16	ligand	O15467	10614	Human
CCL17	chemokine (C-C motif) ligand 17	ligand	Q92583	10615	Amniota
CCL18	chemokine (C-C motif) ligand 18 (pulmonary and activation-regulated)	ligand	P55774	10616	Catarrhini
CCL19	chemokine (C-C motif) ligand 19	ligand	Q99731	10617	Amniota
CCL2	chemokine (C-C motif) ligand 2	ligand	P13500	10618	Eutheria
CCL20	chemokine (C-C motif) ligand 20	ligand	P78556	10619	Amniota
CCL21	chemokine (C-C motif) ligand 21	ligand	O00585	10620	Theria
CCL22	chemokine (C-C motif) ligand 22	ligand	O00626	10621	Mammalia
CCL23	chemokine (C-C motif) ligand 23	ligand	P55773	10622	Euarchontoglires
CCL24	chemokine (C-C motif) ligand 24	ligand	O00175	10623	Theria
CCL25	chemokine (C-C motif) ligand 25	ligand	O15444	10624	Eutheria
CCL26	chemokine (C-C motif) ligand 26	ligand	Q9Y258	10625	Theria
CCL27	chemokine (C-C motif) ligand 27	ligand	Q9Y4X3	10626	Eutheria
CCL28	chemokine (C-C motif) ligand 28	ligand	Q9NRJ3	17700	Eutheria
CCL3	chemokine (C-C motif) ligand 3	ligand	P10147	10627	Amniota
CCL3L1	chemokine (C-C motif) ligand 3-like 1	ligand	P16619	10628	Eutheria
CCL3L3	chemokine (C-C motif) ligand 3-like 3	ligand	P16619	30554	NA
CCL4	chemokine (C-C motif) ligand 4	ligand	P13236	10630	Amniota
CCL5	chemokine (C-C motif) ligand 5	ligand	P13501	10632	Theria
CCL7	chemokine (C-C motif) ligand 7	ligand	P80098	10634	Euarchontoglires
CCL8	chemokine (C-C motif) ligand 8	ligand	P80075	10635	Theria
CD14	CD14 molecule	ligand	P08571	1628	Amniota
CD24	CD24 molecule	ligand	P25063	1645	NA
CD34	CD34 molecule	ligand	P28906	1662	Amniota
CD40LG	CD40 ligand	ligand	P29965	11935	Tetrapoda
CD55	CD55 molecule, decay accelerating factor for complement (Cromer blood group)	ligand	P08174	2665	Theria
CD5L	CD5 molecule-like	ligand	O43866	1690	Theria
CD70	CD70 molecule	ligand	P32970	11937	Theria
CDH1	cadherin 1, type 1, E-cadherin (epithelial)	ligand	P12830	1748	Chordata
CEL	carboxyl ester lipase	ligand	P19835	1848	Euteleostomi
CELA3B	chymotrypsin-like elastase family, member 3B	ligand	P08861	15945	Theria
CFH	complement factor H	ligand	P08603	4883	Tetrapoda
CGA	glycoprotein hormones, alpha polypeptide	ligand	P01215	1885	Euteleostomi
CGB	chorionic gonadotropin, beta polypeptide	ligand	P01233	1886	Human
CGB8	chorionic gonadotropin, beta polypeptide 8	ligand	P01233	16453	NA
CGN	cingulin	ligand	Q9P2M7	17429	Euteleostomi
CHAD	chondroadherin	ligand	O15335	1909	Euteleostomi
CLCF1	cardiotrophin-like cytokine factor 1	ligand	Q9UBD9	17412	Euarchontoglires
CLEC11A	C-type lectin domain family 11, member A	ligand	Q9Y240	10576	Mammalia
CLEC3A	C-type lectin domain family 3, member A	ligand	O75596	2052	Euteleostomi
CNTF	ciliary neurotrophic factor	ligand	P26441	2169	NA
CNTN2	contactin 2 (axonal)	ligand	Q02246	2172	Bilateria
CNTN4	contactin 4	ligand	Q8IWV2	2174	Bilateria
COL11A1	collagen, type XI, alpha 1	ligand	P12107	2186	Deuterostomia
COL14A1	collagen, type XIV, alpha 1	ligand	Q05707	2191	Euteleostomi
COL18A1	collagen, type XVIII, alpha 1	ligand	P39060	2195	Chordata
COL1A1	collagen, type I, alpha 1	ligand	P02452	2197	Deuterostomia
COL1A2	collagen, type I, alpha 2	ligand	P08123	2198	Deuterostomia
COL2A1	collagen, type II, alpha 1	ligand	P02458	2200	Deuterostomia
COL3A1	collagen, type III, alpha 1	ligand	P02461	2201	Homininae
COL4A1	collagen, type IV, alpha 1	ligand	P02462	2202	Bilateria
COL4A2	collagen, type IV, alpha 2	ligand	P08572	2203	Bilateria
COL4A3	collagen, type IV, alpha 3 (Goodpasture antigen)	ligand	Q01955	2204	Bilateria
COL4A4	collagen, type IV, alpha 4	ligand	P53420	2206	Human
COL4A5	collagen, type IV, alpha 5	ligand	P29400	2207	Amniota
COL4A6	collagen, type IV, alpha 6	ligand	Q14031	2208	Bilateria
COL5A1	collagen, type V, alpha 1	ligand	P20908	2209	Deuterostomia
COL5A2	collagen, type V, alpha 2	ligand	P05997	2210	Deuterostomia
COL5A3	collagen, type V, alpha 3	ligand	P25940	14864	Deuterostomia
COL6A1	collagen, type VI, alpha 1	ligand	P12109	2211	Tetrapoda
COL6A2	collagen, type VI, alpha 2	ligand	P12110	2212	Euteleostomi
COL6A3	collagen, type VI, alpha 3	ligand	P12111	2213	Tetrapoda
COL7A1	collagen, type VII, alpha 1	ligand	Q02388	2214	Amniota
COL8A1	collagen, type VIII, alpha 1	ligand	P27658	2215	Tetrapoda
COL9A1	collagen, type IX, alpha 1	ligand	P20849	2217	Euteleostomi
COL9A2	collagen, type IX, alpha 2	ligand	Q14055	2218	Human
COL9A3	collagen, type IX, alpha 3	ligand	Q14050	2219	Euteleostomi
COLQ	collagen-like tail subunit (single strand of homotrimer) of asymmetric acetylcholinesterase	ligand	Q9Y215	2226	Amniota
CORT	cortistatin	ligand	O00230	2257	NA
CP	ceruloplasmin (ferroxidase)	ligand	P00450	2295	Deuterostomia
CPAMD8	C3 and PZP-like, alpha-2-macroglobulin domain containing 8	ligand	Q8IZJ3	23228	Mammalia
CRH	corticotropin releasing hormone	ligand	P06850	2355	Amniota
CRP	C-reactive protein, pentraxin-related	ligand	P02741	2367	Euteleostomi
CSF1	colony stimulating factor 1 (macrophage)	ligand	P09603	2432	Mammalia
CSF2	colony stimulating factor 2 (granulocyte-macrophage)	ligand	P04141	2434	Eutheria
CSF3	colony stimulating factor 3 (granulocyte)	ligand	P09919	2438	Tetrapoda
CSH1	chorionic somatomammotropin hormone 1 (placental lactogen)	ligand	P01243	2440	Homininae
CSH2	chorionic somatomammotropin hormone 2	ligand	P01243	2441	NA
CSHL1	chorionic somatomammotropin hormone-like 1	ligand	Q14406	2442	Human
CTF1	cardiotrophin 1	ligand	Q16619	2499	Mammalia
CTGF	connective tissue growth factor	ligand	P29279	2500	Chordata
CTHRC1	collagen triple helix repeat containing 1	ligand	Q96CG8	18831	Deuterostomia
CUBN	cubilin (intrinsic factor-cobalamin receptor)	ligand	O60494	2548	Bilateria
CX3CL1	chemokine (C-X3-C motif) ligand 1	ligand	P78423	10647	Mammalia
CXCL1	chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)	ligand	P09341	4602	Mammalia
CXCL10	chemokine (C-X-C motif) ligand 10	ligand	P02778	10637	Mammalia
CXCL11	chemokine (C-X-C motif) ligand 11	ligand	O14625	10638	Euarchontoglires
CXCL12	chemokine (C-X-C motif) ligand 12	ligand	P48061	10672	Euteleostomi
CXCL13	chemokine (C-X-C motif) ligand 13	ligand	O43927	10639	Eutheria
CXCL16	chemokine (C-X-C motif) ligand 16	ligand	Q9H2A7	16642	Eutheria
CXCL2	chemokine (C-X-C motif) ligand 2	ligand	P19875	4603	Mammalia
CXCL3	chemokine (C-X-C motif) ligand 3	ligand	P19876	4604	Homininae
CXCL5	chemokine (C-X-C motif) ligand 5	ligand	P42830	10642	Theria
CXCL6	chemokine (C-X-C motif) ligand 6	ligand	P80162	10643	Theria
CXCL9	chemokine (C-X-C motif) ligand 9	ligand	Q07325	7098	Theria
CYR61	cysteine-rich, angiogenic inducer, 61	ligand	O00622	2654	Chordata
DCN	decorin	ligand	P07585	2705	Euteleostomi
DEFB1	defensin, beta 1	ligand	P60022	2766	Eutheria
DEFB103A	defensin, beta 103A	ligand	P81534	15967	Eutheria
DEFB103B	defensin, beta 103B	ligand	P81534	31702	Eutheria
DEFB4A	defensin, beta 4A	ligand	O15263	2767	Euarchontoglires
DEFB4B	defensin, beta 4B	ligand	O15263	30193	Euarchontoglires
DHH	desert hedgehog	ligand	O43323	2865	Bilateria
DKK1	dickkopf WNT signaling pathway inhibitor 1	ligand	O94907	2891	Euteleostomi
DKK2	dickkopf WNT signaling pathway inhibitor 2	ligand	Q9UBU2	2892	Tetrapoda
DLK1	delta-like 1 homolog (Drosophila)	ligand	P80370	2907	Amniota
DLK2	delta-like 2 homolog (Drosophila)	ligand	Q6UY11	21113	Tetrapoda
DLL1	delta-like 1 (Drosophila)	ligand	O00548	2908	Deuterostomia
DLL3	delta-like 3 (Drosophila)	ligand	Q9NYJ7	2909	Theria
DLL4	delta-like 4 (Drosophila)	ligand	Q9NR61	2910	Deuterostomia
DSCAM	Down syndrome cell adhesion molecule	ligand	O60469	3039	Euteleostomi
EBI3	Epstein-Barr virus induced 3	ligand	Q14213	3129	Theria
ECM1	extracellular matrix protein 1	ligand	Q16610	3153	Theria
EDA	ectodysplasin A	ligand	Q92838	3157	Theria
EDIL3	EGF-like repeats and discoidin I-like domains 3	ligand	O43854	3173	Euteleostomi
EDN1	endothelin 1	ligand	P05305	3176	Tetrapoda
EDN2	endothelin 2	ligand	P20800	3177	Theria
EDN3	endothelin 3	ligand	P14138	3178	Human
EFEMP1	EGF containing fibulin-like extracellular matrix protein 1	ligand	Q12805	3218	Euteleostomi
EFEMP2	EGF containing fibulin-like extracellular matrix protein 2	ligand	O95967	3219	Euteleostomi
EFNA1	ephrin-A1	ligand	P20827	3221	Euteleostomi
EFNA2	ephrin-A2	ligand	O43921	3222	Euteleostomi
EFNA3	ephrin-A3	ligand	P52797	3223	Theria
EFNA4	ephrin-A4	ligand	P52798	3224	NA
EFNA5	ephrin-A5	ligand	P52803	3225	Chordata
EFNB1	ephrin-B1	ligand	P98172	3226	Bilateria
EFNB2	ephrin-B2	ligand	P52799	3227	Euteleostomi
EFNB3	ephrin-B3	ligand	Q15768	3228	Theria
EGF	epidermal growth factor	ligand	P01133	3229	Euteleostomi
EGFL8	EGF-like-domain, multiple 8	ligand	Q99944	13944	NA
EPGN	epithelial mitogen	ligand	Q6UW88	17470	Amniota
EPO	erythropoietin	ligand	P01588	3415	Theria
EREG	epiregulin	ligand	O14944	3443	Tetrapoda
F10	coagulation factor X	ligand	P00742	3528	Tetrapoda
F11	coagulation factor XI	ligand	P03951	3529	Tetrapoda
F12	coagulation factor XII (Hageman factor)	ligand	P00748	3530	Mammalia
F13A1	coagulation factor XIII, A1 polypeptide	ligand	P00488	3531	Theria
F2	coagulation factor II (thrombin)	ligand	P00734	3535	Euteleostomi
F7	coagulation factor VII (serum prothrombin conversion accelerator)	ligand	P08709	3544	Euteleostomi
F8	coagulation factor VIII, procoagulant component	ligand	P00451	3546	Amniota
F9	coagulation factor IX	ligand	P00740	3551	Euteleostomi
FARP2	FERM, RhoGEF and pleckstrin domain protein 2	ligand	O94887	16460	Bilateria
FASLG	Fas ligand (TNF superfamily, member 6)	ligand	P48023	11936	Euteleostomi
FAT4	FAT atypical cadherin 4	ligand	Q6V0I7	23109	Bilateria
FBLN1	fibulin 1	ligand	P23142	3600	Euteleostomi
FBLN2	fibulin 2	ligand	P98095	3601	Chordata
FBN1	fibrillin 1	ligand	P35555	3603	Deuterostomia
FCN2	ficolin (collagen/fibrinogen domain containing lectin) 2	ligand	Q15485	3624	Tetrapoda
FGA	fibrinogen alpha chain	ligand	P02671	3661	Euteleostomi
FGB	fibrinogen beta chain	ligand	P02675	3662	Euteleostomi
FGF1	fibroblast growth factor 1 (acidic)	ligand	P05230	3665	Tetrapoda
FGF10	fibroblast growth factor 10	ligand	O15520	3666	Euteleostomi
FGF11	fibroblast growth factor 11	ligand	Q92914	3667	Theria
FGF12	fibroblast growth factor 12	ligand	P61328	3668	Tetrapoda
FGF13	fibroblast growth factor 13	ligand	Q92913	3670	Chordata
FGF14	fibroblast growth factor 14	ligand	Q92915	3671	Euteleostomi
FGF16	fibroblast growth factor 16	ligand	O43320	3672	Bilateria
FGF17	fibroblast growth factor 17	ligand	O60258	3673	Mammalia
FGF18	fibroblast growth factor 18	ligand	O76093	3674	Chordata
FGF19	fibroblast growth factor 19	ligand	O95750	3675	Euteleostomi
FGF2	fibroblast growth factor 2 (basic)	ligand	P09038	3676	Tetrapoda
FGF20	fibroblast growth factor 20	ligand	Q9NP95	3677	Euteleostomi
FGF21	fibroblast growth factor 21	ligand	Q9NSA1	3678	Eutheria
FGF22	fibroblast growth factor 22	ligand	Q9HCT0	3679	Mammalia
FGF23	fibroblast growth factor 23	ligand	Q9GZV9	3680	Euteleostomi
FGF3	fibroblast growth factor 3	ligand	P11487	3681	Euteleostomi
FGF4	fibroblast growth factor 4	ligand	P08620	3682	Euteleostomi
FGF5	fibroblast growth factor 5	ligand	P12034	3683	Chordata
FGF6	fibroblast growth factor 6	ligand	P10767	3684	Euteleostomi
FGF7	fibroblast growth factor 7	ligand	P21781	3685	Euteleostomi
FGF8	fibroblast growth factor 8 (androgen-induced)	ligand	P55075	3686	Euteleostomi
FGF9	fibroblast growth factor 9	ligand	P31371	3687	Tetrapoda
FGG	fibrinogen gamma chain	ligand	P02679	3694	Chordata
FGL1	fibrinogen-like 1	ligand	Q08830	3695	Euteleostomi
FIGF	c-fos induced growth factor (vascular endothelial growth factor D)	ligand	O43915	3708	Euteleostomi
FLT3LG	fms-related tyrosine kinase 3 ligand	ligand	P49771	3766	Eutheria
FN1	fibronectin 1	ligand	P02751	3778	Euteleostomi
FSHB	follicle stimulating hormone, beta polypeptide	ligand	P01225	3964	Tetrapoda
FST	follistatin	ligand	P19883	3971	Euteleostomi
GAL	galanin/GMAP prepropeptide	ligand	P22466	4114	Tetrapoda
GALP	galanin-like peptide	ligand	Q9UBC7	24840	Euarchontoglires
GAS6	growth arrest-specific 6	ligand	Q14393	4168	Euteleostomi
GAST	gastrin	ligand	P01350	4164	Tetrapoda
GCG	glucagon	ligand	P01275	4191	Euteleostomi
GDF10	growth differentiation factor 10	ligand	P55107	4215	Tetrapoda
GDF11	growth differentiation factor 11	ligand	O95390	4216	Euteleostomi
GDF2	growth differentiation factor 2	ligand	Q9UK05	4217	Tetrapoda
GDF5	growth differentiation factor 5	ligand	P43026	4220	Tetrapoda
GDF6	growth differentiation factor 6	ligand	Q6KF10	4221	Euteleostomi
GDF7	growth differentiation factor 7	ligand	Q7Z4P5	4222	Euarchontoglires
GDF9	growth differentiation factor 9	ligand	O60383	4224	Euteleostomi
GDNF	glial cell derived neurotrophic factor	ligand	P39905	4232	Euteleostomi
GH1	growth hormone 1	ligand	P01241	4261	NA
GH2	growth hormone 2	ligand	P01242	4262	Homininae
GHRH	growth hormone releasing hormone	ligand	P01286	4265	Eutheria
GHRL	ghrelin/obestatin prepropeptide	ligand	Q9UBU3	18129	Theria
GIP	gastric inhibitory polypeptide	ligand	P09681	4270	Eutheria
GNAI2	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2	ligand	P04899	4385	Bilateria
GNAS	GNAS complex locus	ligand	O95467	4392	Bilateria
GNB3	guanine nucleotide binding protein (G protein), beta polypeptide 3	ligand	P16520	4400	Opisthokonta
GNRH1	gonadotropin-releasing hormone 1 (luteinizing-releasing hormone)	ligand	P01148	4419	Tetrapoda
GNRH2	gonadotropin-releasing hormone 2	ligand	O43555	4420	Catarrhini
GPC3	glypican 3	ligand	P51654	4451	Chordata
GPHA2	glycoprotein hormone alpha 2	ligand	Q96T91	18054	Theria
GPI	glucose-6-phosphate isomerase	ligand	P06744	4458	Cell.Organisms
GREM1	gremlin 1, DAN family BMP antagonist	ligand	O60565	2001	Chordata
GRP	gastrin-releasing peptide	ligand	P07492	4605	Tetrapoda
GSTP1	glutathione S-transferase pi 1	ligand	P09211	4638	Mammalia
GUCA2A	guanylate cyclase activator 2A (guanylin)	ligand	Q02747	4682	Human
GUCA2B	guanylate cyclase activator 2B (uroguanylin)	ligand	Q16661	4683	Theria
GZMB	granzyme B (granzyme 2, cytotoxic T-lymphocyte-associated serine esterase 1)	ligand	P10144	4709	Euteleostomi
HAS2	hyaluronan synthase 2	ligand	Q92819	4819	Euteleostomi
HBEGF	heparin-binding EGF-like growth factor	ligand	Q99075	3059	Amniota
HCRT	hypocretin (orexin) neuropeptide precursor	ligand	O43612	4847	Theria
HEBP1	heme binding protein 1	ligand	Q9NRV9	17176	Tetrapoda
HGF	hepatocyte growth factor (hepapoietin A; scatter factor)	ligand	P14210	4893	Euteleostomi
HHIPL2	HHIP-like 2	ligand	Q6UWX4	25842	Deuterostomia
HHLA3	HERV-H LTR-associating 3	ligand	Q9XRX5	4906	Homininae
HLA-A	major histocompatibility complex, class I, A	ligand	P01891	4931	Euteleostomi
HLA-B	major histocompatibility complex, class I, B	ligand	P01889	4932	Euteleostomi
HLA-C	major histocompatibility complex, class I, C	ligand	P04222	4933	NA
HLA-E	major histocompatibility complex, class I, E	ligand	P13747	4962	Homininae
HLA-G	major histocompatibility complex, class I, G	ligand	P17693	4964	Homininae
HMGB1	high mobility group box 1	ligand	P09429	4983	Eukaryota
HP	haptoglobin	ligand	P00738	5141	NA
HRAS	Harvey rat sarcoma viral oncogene homolog	ligand	P01112	5173	Euteleostomi
HRG	histidine-rich glycoprotein	ligand	P04196	5181	Amniota
HSP90AA1	heat shock protein 90kDa alpha (cytosolic), class A member 1	ligand	P07900	5253	Eukaryota
HSPG2	heparan sulfate proteoglycan 2	ligand	P98160	5273	Bilateria
IAPP	islet amyloid polypeptide	ligand	P10997	5329	Amniota
IBSP	integrin-binding sialoprotein	ligand	P21815	5341	Mammalia
ICAM1	intercellular adhesion molecule 1	ligand	P05362	5344	Euarchontoglires
ICAM2	intercellular adhesion molecule 2	ligand	P13598	5345	Theria
ICAM3	intercellular adhesion molecule 3	ligand	P32942	5346	Catarrhini
ICAM4	intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)	ligand	Q14773	5347	Eutheria
ICAM5	intercellular adhesion molecule 5, telencephalin	ligand	Q9UMF0	5348	Amniota
IFNA1	interferon, alpha 1	ligand	P01562	5417	Catarrhini
IFNA10	interferon, alpha 10	ligand	P01566	5418	Human
IFNA13	interferon, alpha 13	ligand	P01562	5419	NA
IFNA14	interferon, alpha 14	ligand	P01570	5420	NA
IFNA16	interferon, alpha 16	ligand	P05015	5421	Eutheria
IFNA17	interferon, alpha 17	ligand	P01571	5422	NA
IFNA2	interferon, alpha 2	ligand	P01563	5423	Catarrhini
IFNA21	interferon, alpha 21	ligand	P01568	5424	Catarrhini
IFNA4	interferon, alpha 4	ligand	P05014	5425	NA
IFNA5	interferon, alpha 5	ligand	P01569	5426	Eutheria
IFNA6	interferon, alpha 6	ligand	P05013	5427	Homininae
IFNA7	interferon, alpha 7	ligand	P01567	5428	Eutheria
IFNA8	interferon, alpha 8	ligand	P32881	5429	Catarrhini
IFNB1	interferon, beta 1, fibroblast	ligand	P01574	5434	Mammalia
IFNG	interferon, gamma	ligand	P01579	5438	Amniota
IFNL1	interferon, lambda 1	ligand	Q8IU54	18363	Human
IFNL2	interferon, lambda 2	ligand	Q8IZJ0	18364	Theria
IFNL3	interferon, lambda 3	ligand	Q8IZI9	18365	Theria
IFNW1	interferon, omega 1	ligand	P05000	5448	Theria
IGF1	insulin-like growth factor 1 (somatomedin C)	ligand	P05019	5464	Chordata
IGF2	insulin-like growth factor 2 (somatomedin A)	ligand	P01344	5466	Eutheria
IGFBP4	insulin-like growth factor binding protein 4	ligand	P22692	5473	Tetrapoda
IGFL1	IGF-like family member 1	ligand	Q6UW32	24093	Human
IGFL2	IGF-like family member 2	ligand	Q6UWQ7	32929	Human
IGFL3	IGF-like family member 3	ligand	Q6UXB1	32930	Catarrhini
IHH	indian hedgehog	ligand	Q14623	5956	Bilateria
IL10	interleukin 10	ligand	P22301	5962	Euteleostomi
IL11	interleukin 11	ligand	P20809	5966	Homininae
IL12A	interleukin 12A (natural killer cell stimulatory factor 1, cytotoxic lymphocyte maturation factor 1, p35)	ligand	P29459	5969	Amniota
IL12B	interleukin 12B (natural killer cell stimulatory factor 2, cytotoxic lymphocyte maturation factor 2, p40)	ligand	P29460	5970	Amniota
IL13	interleukin 13	ligand	P35225	5973	Eutheria
IL15	interleukin 15	ligand	P40933	5977	Amniota
IL16	interleukin 16	ligand	Q14005	5980	Amniota
IL17A	interleukin 17A	ligand	Q16552	5981	Tetrapoda
IL17B	interleukin 17B	ligand	Q9UHF5	5982	Tetrapoda
IL17F	interleukin 17F	ligand	Q96PD4	16404	Tetrapoda
IL18	interleukin 18 (interferon-gamma-inducing factor)	ligand	Q14116	5986	Amniota
IL19	interleukin 19	ligand	Q9UHD0	5990	Theria
IL1A	interleukin 1, alpha	ligand	P01583	5991	Theria
IL1B	interleukin 1, beta	ligand	P01584	5992	Euteleostomi
IL1F10	interleukin 1 family, member 10 (theta)	ligand	Q8WWZ1	15552	Mammalia
IL1RN	interleukin 1 receptor antagonist	ligand	P18510	6000	Mammalia
IL2	interleukin 2	ligand	P60568	6001	Eutheria
IL20	interleukin 20	ligand	Q9NYY1	6002	Amniota
IL21	interleukin 21	ligand	Q9HBE4	6005	Theria
IL22	interleukin 22	ligand	Q9GZX6	14900	Amniota
IL23A	interleukin 23, alpha subunit p19	ligand	Q9NPF7	15488	Eutheria
IL24	interleukin 24	ligand	Q13007	11346	Eutheria
IL25	interleukin 25	ligand	Q9H293	13765	Theria
IL26	interleukin 26	ligand	Q9NPH9	17119	Catarrhini
IL27	interleukin 27	ligand	Q8NEV9	19157	Theria
IL3	interleukin 3 (colony-stimulating factor, multiple)	ligand	P08700	6011	Catarrhini
IL31	interleukin 31	ligand	Q6EBC2	19372	Euarchontoglires
IL34	interleukin 34	ligand	Q6ZMJ4	28529	Mammalia
