ApprovedSymbol	UniProtID	HGNCID	ApprovedName	Consensus_Call	Taxon	Age	Class
C5orf55	Q8N2X6	25175	chromosome 5 open reading frame 55	secreted	NA	NA	Ligand
C6orf15	Q6UXA7	13927	chromosome 6 open reading frame 15	secreted	Theria	176	Ligand
CALCA	P01258	1437	calcitonin-related polypeptide alpha	secreted	Tetrapoda	361	Ligand
CALCB	P10092	1438	calcitonin-related polypeptide beta	secreted	Eutheria	97	Ligand
CALR	P27797	1455	calreticulin	cytoplasm. endoplasmic reticulum. mitochondrion. nucleus. secreted	Eukaryota	1628	Ligand
CAMP	P49913	1472	cathelicidin antimicrobial peptide	secreted	Amniota	324	Ligand
CCK	P06307	1569	cholecystokinin	secreted	Euteleostomi	454	Ligand
CCL1	P22362	10609	chemokine (C-C motif) ligand 1	cytoplasm. secreted	Eutheria	97	Ligand
CCL11	P51671	10610	chemokine (C-C motif) ligand 11	cytoplasm. secreted	Euarchontoglires	91	Ligand
CCL13	Q99616	10611	chemokine (C-C motif) ligand 13	secreted	Theria	176	Ligand
CCL14	Q16627	10612	chemokine (C-C motif) ligand 14	secreted	Homininae	6	Ligand
CCL15	Q16663	10613	chemokine (C-C motif) ligand 15	secreted	Homininae	6	Ligand
CCL16	O15467	10614	chemokine (C-C motif) ligand 16	secreted	Human	0	Ligand
CCL17	Q92583	10615	chemokine (C-C motif) ligand 17	secreted	Amniota	324	Ligand
CCL18	P55774	10616	chemokine (C-C motif) ligand 18 (pulmonary and activation-regulated)	secreted	Catarrhini	29	Ligand
CCL19	Q99731	10617	chemokine (C-C motif) ligand 19	secreted	Amniota	324	Ligand
CCL2	P13500	10618	chemokine (C-C motif) ligand 2	secreted	Eutheria	97	Ligand
CCL20	P78556	10619	chemokine (C-C motif) ligand 20	cytoplasm. secreted	Amniota	324	Ligand
CCL21	O00585	10620	chemokine (C-C motif) ligand 21	secreted	Theria	176	Ligand
CCL22	O00626	10621	chemokine (C-C motif) ligand 22	secreted	Mammalia	220	Ligand
CCL23	P55773	10622	chemokine (C-C motif) ligand 23	secreted	Euarchontoglires	91	Ligand
CCL24	O00175	10623	chemokine (C-C motif) ligand 24	secreted	Theria	176	Ligand
CCL25	O15444	10624	chemokine (C-C motif) ligand 25	secreted	Eutheria	97	Ligand
CCL26	Q9Y258	10625	chemokine (C-C motif) ligand 26	secreted	Theria	176	Ligand
CCL27	Q9Y4X3	10626	chemokine (C-C motif) ligand 27	cytoplasm. nucleus. secreted	Eutheria	97	Ligand
CCL28	Q9NRJ3	17700	chemokine (C-C motif) ligand 28	secreted	Eutheria	97	Ligand
CCL3	P10147	10627	chemokine (C-C motif) ligand 3	secreted	Amniota	324	Ligand
CCL3L1	P16619	10628	chemokine (C-C motif) ligand 3-like 1	secreted	Eutheria	97	Ligand
CCL3L3	P16619	30554	chemokine (C-C motif) ligand 3-like 3	secreted	NA	NA	Ligand
CCL4	P13236	10630	chemokine (C-C motif) ligand 4	endoplasmic reticulum. golgi apparatus. secreted	Amniota	324	Ligand
CCL5	P13501	10632	chemokine (C-C motif) ligand 5	secreted	Theria	176	Ligand
CCL7	P80098	10634	chemokine (C-C motif) ligand 7	secreted	Euarchontoglires	91	Ligand
CCL8	P80075	10635	chemokine (C-C motif) ligand 8	secreted	Theria	176	Ligand
CD14	P08571	1628	CD14 molecule	cytoplasm. endoplasmic reticulum. endosome. golgi apparatus. lysosome. secreted	Amniota	324	Ligand
CD24	P25063	1645	CD24 molecule	plasma membrane	NA	NA	Ligand
CD34	P28906	1662	CD34 molecule	plasma membrane. secreted	Amniota	324	Ligand
CD40LG	P29965	11935	CD40 ligand	plasma membrane. secreted	Tetrapoda	361	Ligand
CD55	P08174	2665	CD55 molecule, decay accelerating factor for complement (Cromer blood group)	plasma membrane. secreted	Theria	176	Ligand
CD5L	O43866	1690	CD5 molecule-like	secreted	Theria	176	Ligand
CD70	P32970	11937	CD70 molecule	plasma membrane. secreted	Theria	176	Ligand
CDH1	P12830	1748	cadherin 1, type 1, E-cadherin (epithelial)	cytoplasm. endosome. golgi apparatus. plasma membrane. secreted	Chordata	797	Ligand
CEL	P19835	1848	carboxyl ester lipase	endoplasmic reticulum. golgi apparatus. secreted	Euteleostomi	454	Ligand
CELA3B	P08861	15945	chymotrypsin-like elastase family, member 3B	secreted	Theria	176	Ligand
CFH	P08603	4883	complement factor H	endoplasmic reticulum. secreted	Tetrapoda	361	Ligand
CGA	P01215	1885	glycoprotein hormones, alpha polypeptide	endoplasmic reticulum. golgi apparatus. secreted	Euteleostomi	454	Ligand
CGB	P01233	1886	chorionic gonadotropin, beta polypeptide	secreted	Human	0	Ligand
CGB8	P01233	16453	chorionic gonadotropin, beta polypeptide 8	secreted	NA	NA	Ligand
CGN	Q9P2M7	17429	cingulin	secreted	Euteleostomi	454	Ligand
CHAD	O15335	1909	chondroadherin	secreted	Euteleostomi	454	Ligand
CLCF1	Q9UBD9	17412	cardiotrophin-like cytokine factor 1	secreted	Euarchontoglires	91	Ligand
CLEC11A	Q9Y240	10576	C-type lectin domain family 11, member A	cytoplasm. secreted	Mammalia	220	Ligand
CLEC3A	O75596	2052	C-type lectin domain family 3, member A	secreted	Euteleostomi	454	Ligand
CNTF	P26441	2169	ciliary neurotrophic factor	cytoplasm. secreted	NA	NA	Ligand
CNTN2	Q02246	2172	contactin 2 (axonal)	secreted	Bilateria	910	Ligand
CNTN4	Q8IWV2	2174	contactin 4	n/a	Bilateria	910	Ligand
COL11A1	P12107	2186	collagen, type XI, alpha 1	secreted	Deuterostomia	824	Ligand
COL14A1	Q05707	2191	collagen, type XIV, alpha 1	secreted	Euteleostomi	454	Ligand
COL18A1	P39060	2195	collagen, type XVIII, alpha 1	secreted	Chordata	797	Ligand
COL1A1	P02452	2197	collagen, type I, alpha 1	secreted	Deuterostomia	824	Ligand
COL1A2	P08123	2198	collagen, type I, alpha 2	secreted	Deuterostomia	824	Ligand
COL2A1	P02458	2200	collagen, type II, alpha 1	secreted	Deuterostomia	824	Ligand
COL3A1	P02461	2201	collagen, type III, alpha 1	secreted	Homininae	6	Ligand
COL4A1	P02462	2202	collagen, type IV, alpha 1	secreted	Bilateria	910	Ligand
COL4A2	P08572	2203	collagen, type IV, alpha 2	secreted	Bilateria	910	Ligand
COL4A3	Q01955	2204	collagen, type IV, alpha 3 (Goodpasture antigen)	secreted	Bilateria	910	Ligand
COL4A4	P53420	2206	collagen, type IV, alpha 4	secreted	Human	0	Ligand
COL4A5	P29400	2207	collagen, type IV, alpha 5	secreted	Amniota	324	Ligand
COL4A6	Q14031	2208	collagen, type IV, alpha 6	secreted	Bilateria	910	Ligand
COL5A1	P20908	2209	collagen, type V, alpha 1	secreted	Deuterostomia	824	Ligand
COL5A2	P05997	2210	collagen, type V, alpha 2	secreted	Deuterostomia	824	Ligand
COL5A3	P25940	14864	collagen, type V, alpha 3	secreted	Deuterostomia	824	Ligand
COL6A1	P12109	2211	collagen, type VI, alpha 1	secreted	Tetrapoda	361	Ligand
COL6A2	P12110	2212	collagen, type VI, alpha 2	secreted	Euteleostomi	454	Ligand
COL6A3	P12111	2213	collagen, type VI, alpha 3	secreted	Tetrapoda	361	Ligand
COL7A1	Q02388	2214	collagen, type VII, alpha 1	secreted	Amniota	324	Ligand
COL8A1	P27658	2215	collagen, type VIII, alpha 1	secreted	Tetrapoda	361	Ligand
COL9A1	P20849	2217	collagen, type IX, alpha 1	secreted	Euteleostomi	454	Ligand
COL9A2	Q14055	2218	collagen, type IX, alpha 2	secreted	Human	0	Ligand
COL9A3	Q14050	2219	collagen, type IX, alpha 3	secreted	Euteleostomi	454	Ligand
COLQ	Q9Y215	2226	collagen-like tail subunit (single strand of homotrimer) of asymmetric acetylcholinesterase	secreted	Amniota	324	Ligand
CORT	O00230	2257	cortistatin	secreted	NA	NA	Ligand
CP	P00450	2295	ceruloplasmin (ferroxidase)	endoplasmic reticulum. golgi apparatus. secreted	Deuterostomia	824	Ligand
CPAMD8	Q8IZJ3	23228	C3 and PZP-like, alpha-2-macroglobulin domain containing 8	secreted	Mammalia	220	Ligand
CRH	P06850	2355	corticotropin releasing hormone	cytoplasm. secreted	Amniota	324	Ligand
CRP	P02741	2367	C-reactive protein, pentraxin-related	nucleus. secreted	Euteleostomi	454	Ligand
CSF1	P09603	2432	colony stimulating factor 1 (macrophage)	plasma membrane. secreted	Mammalia	220	Ligand
CSF2	P04141	2434	colony stimulating factor 2 (granulocyte-macrophage)	secreted	Eutheria	97	Ligand
CSF3	P09919	2438	colony stimulating factor 3 (granulocyte)	secreted	Tetrapoda	361	Ligand
CSH1	P01243	2440	chorionic somatomammotropin hormone 1 (placental lactogen)	secreted	Homininae	6	Ligand
CSH2	P01243	2441	chorionic somatomammotropin hormone 2	secreted	NA	NA	Ligand
CSHL1	Q14406	2442	chorionic somatomammotropin hormone-like 1	secreted	Human	0	Ligand
CTF1	Q16619	2499	cardiotrophin 1	secreted	Mammalia	220	Ligand
CTGF	P29279	2500	connective tissue growth factor	golgi apparatus. secreted	Chordata	797	Ligand
CTHRC1	Q96CG8	18831	collagen triple helix repeat containing 1	secreted	Deuterostomia	824	Ligand
CUBN	O60494	2548	cubilin (intrinsic factor-cobalamin receptor)	secreted	Bilateria	910	Ligand
CX3CL1	P78423	10647	chemokine (C-X3-C motif) ligand 1	plasma membrane. secreted	Mammalia	220	Ligand
CXCL1	P09341	4602	chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)	secreted	Mammalia	220	Ligand
CXCL10	P02778	10637	chemokine (C-X-C motif) ligand 10	secreted	Mammalia	220	Ligand
CXCL11	O14625	10638	chemokine (C-X-C motif) ligand 11	cytoplasm. secreted	Euarchontoglires	91	Ligand
CXCL12	P48061	10672	chemokine (C-X-C motif) ligand 12	secreted	Euteleostomi	454	Ligand
CXCL13	O43927	10639	chemokine (C-X-C motif) ligand 13	secreted	Eutheria	97	Ligand
CXCL16	Q9H2A7	16642	chemokine (C-X-C motif) ligand 16	plasma membrane. secreted	Eutheria	97	Ligand
CXCL2	P19875	4603	chemokine (C-X-C motif) ligand 2	secreted	Mammalia	220	Ligand
CXCL3	P19876	4604	chemokine (C-X-C motif) ligand 3	secreted	Homininae	6	Ligand
CXCL5	P42830	10642	chemokine (C-X-C motif) ligand 5	endoplasmic reticulum. secreted	Theria	176	Ligand
CXCL6	P80162	10643	chemokine (C-X-C motif) ligand 6	secreted	Theria	176	Ligand
CXCL9	Q07325	7098	chemokine (C-X-C motif) ligand 9	secreted	Theria	176	Ligand
CYR61	O00622	2654	cysteine-rich, angiogenic inducer, 61	secreted	Chordata	797	Ligand
DCN	P07585	2705	decorin	secreted	Euteleostomi	454	Ligand
DEFB1	P60022	2766	defensin, beta 1	cytoplasm. secreted	Eutheria	97	Ligand
DEFB103A	P81534	15967	defensin, beta 103A	secreted	Eutheria	97	Ligand
DEFB103B	P81534	31702	defensin, beta 103B	secreted	Eutheria	97	Ligand
DEFB4A	O15263	2767	defensin, beta 4A	cytoplasm. secreted	Euarchontoglires	91	Ligand
DEFB4B	O15263	30193	defensin, beta 4B	secreted	Euarchontoglires	91	Ligand
DHH	O43323	2865	desert hedgehog	secreted	Bilateria	910	Ligand
DKK1	O94907	2891	dickkopf WNT signaling pathway inhibitor 1	secreted	Euteleostomi	454	Ligand
DKK2	Q9UBU2	2892	dickkopf WNT signaling pathway inhibitor 2	secreted	Tetrapoda	361	Ligand
DLK1	P80370	2907	delta-like 1 homolog (Drosophila)	cytoplasm. plasma membrane. secreted	Amniota	324	Ligand
DLK2	Q6UY11	21113	delta-like 2 homolog (Drosophila)	plasma membrane	Tetrapoda	361	Ligand
DLL1	O00548	2908	delta-like 1 (Drosophila)	cytoplasm. nucleus. plasma membrane	Deuterostomia	824	Ligand
DLL3	Q9NYJ7	2909	delta-like 3 (Drosophila)	plasma membrane	Theria	176	Ligand
DLL4	Q9NR61	2910	delta-like 4 (Drosophila)	plasma membrane	Deuterostomia	824	Ligand
DSCAM	O60469	3039	Down syndrome cell adhesion molecule	secreted	Euteleostomi	454	Ligand
EBI3	Q14213	3129	Epstein-Barr virus induced 3	secreted	Theria	176	Ligand
ECM1	Q16610	3153	extracellular matrix protein 1	secreted	Theria	176	Ligand
EDA	Q92838	3157	ectodysplasin A	endoplasmic reticulum. plasma membrane. secreted	Theria	176	Ligand
EDIL3	O43854	3173	EGF-like repeats and discoidin I-like domains 3	secreted	Euteleostomi	454	Ligand
EDN1	P05305	3176	endothelin 1	secreted	Tetrapoda	361	Ligand
EDN2	P20800	3177	endothelin 2	secreted	Theria	176	Ligand
EDN3	P14138	3178	endothelin 3	secreted	Human	0	Ligand
EFEMP1	Q12805	3218	EGF containing fibulin-like extracellular matrix protein 1	secreted	Euteleostomi	454	Ligand
EFEMP2	O95967	3219	EGF containing fibulin-like extracellular matrix protein 2	secreted	Euteleostomi	454	Ligand
EFNA1	P20827	3221	ephrin-A1	plasma membrane. secreted	Euteleostomi	454	Ligand
EFNA2	O43921	3222	ephrin-A2	secreted	Euteleostomi	454	Ligand
EFNA3	P52797	3223	ephrin-A3	plasma membrane	Theria	176	Ligand
EFNA4	P52798	3224	ephrin-A4	plasma membrane. secreted	NA	NA	Ligand
EFNA5	P52803	3225	ephrin-A5	plasma membrane	Chordata	797	Ligand
EFNB1	P98172	3226	ephrin-B1	plasma membrane	Bilateria	910	Ligand
EFNB2	P52799	3227	ephrin-B2	plasma membrane	Euteleostomi	454	Ligand
EFNB3	Q15768	3228	ephrin-B3	plasma membrane	Theria	176	Ligand
EGF	P01133	3229	epidermal growth factor	nucleus. plasma membrane	Euteleostomi	454	Ligand
EGFL8	Q99944	13944	EGF-like-domain, multiple 8	secreted	NA	NA	Ligand
EPGN	Q6UW88	17470	epithelial mitogen	secreted	Amniota	324	Ligand
EPO	P01588	3415	erythropoietin	secreted	Theria	176	Ligand
EREG	O14944	3443	epiregulin	plasma membrane. secreted	Tetrapoda	361	Ligand
F10	P00742	3528	coagulation factor X	secreted	Tetrapoda	361	Ligand
F11	P03951	3529	coagulation factor XI	secreted	Tetrapoda	361	Ligand
F12	P00748	3530	coagulation factor XII (Hageman factor)	secreted	Mammalia	220	Ligand
F13A1	P00488	3531	coagulation factor XIII, A1 polypeptide	cytoplasm. nucleus. secreted	Theria	176	Ligand
F2	P00734	3535	coagulation factor II (thrombin)	secreted	Euteleostomi	454	Ligand
F7	P08709	3544	coagulation factor VII (serum prothrombin conversion accelerator)	secreted	Euteleostomi	454	Ligand
F8	P00451	3546	coagulation factor VIII, procoagulant component	secreted	Amniota	324	Ligand
F9	P00740	3551	coagulation factor IX	endoplasmic reticulum. golgi apparatus. secreted	Euteleostomi	454	Ligand
FARP2	O94887	16460	FERM, RhoGEF and pleckstrin domain protein 2	secreted	Bilateria	910	Ligand
FASLG	P48023	11936	Fas ligand (TNF superfamily, member 6)	lysosome. nucleus. plasma membrane. secreted	Euteleostomi	454	Ligand
FAT4	Q6V0I7	23109	FAT atypical cadherin 4	secreted	Bilateria	910	Ligand
FBLN1	P23142	3600	fibulin 1	secreted	Euteleostomi	454	Ligand
FBLN2	P98095	3601	fibulin 2	secreted	Chordata	797	Ligand
FBN1	P35555	3603	fibrillin 1	secreted	Deuterostomia	824	Ligand
FCN2	Q15485	3624	ficolin (collagen/fibrinogen domain containing lectin) 2	secreted	Tetrapoda	361	Ligand
FGA	P02671	3661	fibrinogen alpha chain	secreted	Euteleostomi	454	Ligand
FGB	P02675	3662	fibrinogen beta chain	endoplasmic reticulum. secreted	Euteleostomi	454	Ligand
FGF1	P05230	3665	fibroblast growth factor 1 (acidic)	cytoplasm. nucleus. secreted	Tetrapoda	361	Ligand
FGF10	O15520	3666	fibroblast growth factor 10	secreted	Euteleostomi	454	Ligand
FGF11	Q92914	3667	fibroblast growth factor 11	secreted	Theria	176	Ligand
FGF12	P61328	3668	fibroblast growth factor 12	nucleus	Tetrapoda	361	Ligand
FGF13	Q92913	3670	fibroblast growth factor 13	cytoplasm. nucleus	Chordata	797	Ligand
FGF14	Q92915	3671	fibroblast growth factor 14	nucleus	Euteleostomi	454	Ligand
FGF16	O43320	3672	fibroblast growth factor 16	secreted	Bilateria	910	Ligand
FGF17	O60258	3673	fibroblast growth factor 17	secreted	Mammalia	220	Ligand
FGF18	O76093	3674	fibroblast growth factor 18	secreted	Chordata	797	Ligand
FGF19	O95750	3675	fibroblast growth factor 19	secreted	Euteleostomi	454	Ligand
FGF2	P09038	3676	fibroblast growth factor 2 (basic)	nucleus. secreted	Tetrapoda	361	Ligand
FGF20	Q9NP95	3677	fibroblast growth factor 20	secreted	Euteleostomi	454	Ligand
FGF21	Q9NSA1	3678	fibroblast growth factor 21	secreted	Eutheria	97	Ligand
FGF22	Q9HCT0	3679	fibroblast growth factor 22	secreted	Mammalia	220	Ligand
FGF23	Q9GZV9	3680	fibroblast growth factor 23	secreted	Euteleostomi	454	Ligand
FGF3	P11487	3681	fibroblast growth factor 3	secreted	Euteleostomi	454	Ligand
FGF4	P08620	3682	fibroblast growth factor 4	secreted	Euteleostomi	454	Ligand
FGF5	P12034	3683	fibroblast growth factor 5	secreted	Chordata	797	Ligand
FGF6	P10767	3684	fibroblast growth factor 6	secreted	Euteleostomi	454	Ligand
FGF7	P21781	3685	fibroblast growth factor 7	secreted	Euteleostomi	454	Ligand
FGF8	P55075	3686	fibroblast growth factor 8 (androgen-induced)	cytoplasm. secreted	Euteleostomi	454	Ligand
FGF9	P31371	3687	fibroblast growth factor 9	secreted	Tetrapoda	361	Ligand
FGG	P02679	3694	fibrinogen gamma chain	golgi apparatus. secreted	Chordata	797	Ligand
FGL1	Q08830	3695	fibrinogen-like 1	cytoplasm. secreted	Euteleostomi	454	Ligand
FIGF	O43915	3708	c-fos induced growth factor (vascular endothelial growth factor D)	secreted	Euteleostomi	454	Ligand
FLT3LG	P49771	3766	fms-related tyrosine kinase 3 ligand	plasma membrane. secreted	Eutheria	97	Ligand
FN1	P02751	3778	fibronectin 1	endoplasmic reticulum. nucleus. secreted	Euteleostomi	454	Ligand
FSHB	P01225	3964	follicle stimulating hormone, beta polypeptide	secreted	Tetrapoda	361	Ligand
FST	P19883	3971	follistatin	secreted	Euteleostomi	454	Ligand
GAL	P22466	4114	galanin/GMAP prepropeptide	nucleus. secreted	Tetrapoda	361	Ligand
GALP	Q9UBC7	24840	galanin-like peptide	secreted	Euarchontoglires	91	Ligand
GAS6	Q14393	4168	growth arrest-specific 6	secreted	Euteleostomi	454	Ligand
GAST	P01350	4164	gastrin	secreted	Tetrapoda	361	Ligand
GCG	P01275	4191	glucagon	secreted	Euteleostomi	454	Ligand
GDF10	P55107	4215	growth differentiation factor 10	secreted	Tetrapoda	361	Ligand
GDF11	O95390	4216	growth differentiation factor 11	secreted	Euteleostomi	454	Ligand
GDF2	Q9UK05	4217	growth differentiation factor 2	secreted	Tetrapoda	361	Ligand
GDF5	P43026	4220	growth differentiation factor 5	cytoplasm. nucleus. secreted	Tetrapoda	361	Ligand
GDF6	Q6KF10	4221	growth differentiation factor 6	secreted	Euteleostomi	454	Ligand
GDF7	Q7Z4P5	4222	growth differentiation factor 7	secreted	Euarchontoglires	91	Ligand
GDF9	O60383	4224	growth differentiation factor 9	secreted	Euteleostomi	454	Ligand
GDNF	P39905	4232	glial cell derived neurotrophic factor	secreted	Euteleostomi	454	Ligand
GH1	P01241	4261	growth hormone 1	secreted	NA	NA	Ligand
GH2	P01242	4262	growth hormone 2	secreted	Homininae	6	Ligand
GHRH	P01286	4265	growth hormone releasing hormone	secreted	Eutheria	97	Ligand
GHRL	Q9UBU3	18129	ghrelin/obestatin prepropeptide	cytoplasm. secreted	Theria	176	Ligand
GIP	P09681	4270	gastric inhibitory polypeptide	secreted	Eutheria	97	Ligand
GNAI2	P04899	4385	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2	cytoplasm. endoplasmic reticulum	Bilateria	910	Ligand
GNAS	O95467	4392	GNAS complex locus	secreted	Bilateria	910	Ligand
GNB3	P16520	4400	guanine nucleotide binding protein (G protein), beta polypeptide 3	cytoplasm	Opisthokonta	1368	Ligand
GNRH1	P01148	4419	gonadotropin-releasing hormone 1 (luteinizing-releasing hormone)	secreted	Tetrapoda	361	Ligand
GNRH2	O43555	4420	gonadotropin-releasing hormone 2	secreted	Catarrhini	29	Ligand
GPC3	P51654	4451	glypican 3	plasma membrane. secreted	Chordata	797	Ligand
GPHA2	Q96T91	18054	glycoprotein hormone alpha 2	secreted	Theria	176	Ligand
GPI	P06744	4458	glucose-6-phosphate isomerase	cytoplasm. mitochondrion. secreted	Cell.Organisms	4200	Ligand
GREM1	O60565	2001	gremlin 1, DAN family BMP antagonist	secreted	Chordata	797	Ligand
GRP	P07492	4605	gastrin-releasing peptide	secreted	Tetrapoda	361	Ligand
GSTP1	P09211	4638	glutathione S-transferase pi 1	cytoplasm. mitochondrion. nucleus	Mammalia	220	Ligand
